timestamp,tx,ty,tz,qx,qy,qz,qw,kf_id,map_id
1772193958.485920,3.771406,0.491281,11.465860,0.011357,0.888975,0.029888,0.456839,109,0
1772193957.935906,3.052816,0.465572,11.799354,0.004151,0.894328,0.023921,0.446753,106,0
1772193958.100941,3.260659,0.499899,11.691784,0.005951,0.895568,0.025886,0.444131,107,0
1772193958.265935,3.485913,0.498536,11.582650,0.010584,0.893895,0.032658,0.446960,108,0
1772193958.815919,4.188738,0.568994,11.243891,-0.008633,0.900025,0.023666,0.435110,111,0
1772193958.650931,3.969449,0.526269,11.362724,0.000059,0.890007,0.022602,0.455387,110,0
1772193959.035931,4.488199,0.593148,11.075751,-0.016482,0.920164,0.021522,0.390593,112,0
1772193957.605931,2.628592,0.439966,11.995796,-0.004285,0.874737,0.021333,0.484110,104,0
1772193959.420929,4.913903,0.639780,10.683853,-0.000843,0.949346,0.015808,0.313832,114,0
1772193960.355917,5.535691,0.682803,9.941079,0.005387,0.998862,-0.004669,0.047155,119,0
1772193959.860932,5.309076,0.643885,10.276655,0.008316,0.967052,0.014667,0.254021,116,0
1772193960.025928,5.414509,0.666426,10.145202,0.004403,0.980182,0.010248,0.197785,117,0
1772193961.290915,5.373336,0.750756,9.412570,0.004206,0.964798,-0.017087,-0.262404,125,0
1772193961.730934,5.116208,0.781072,9.403666,0.007661,-0.830361,0.019271,0.556840,128,0
1772193961.400930,5.308312,0.774496,9.384276,0.003883,0.944461,-0.013148,-0.328337,126,0
1772193959.640898,5.131016,0.647355,10.456922,0.013901,0.957149,0.025008,0.288179,115,0
1772193959.255928,4.747380,0.616486,10.864161,-0.010018,0.939761,0.019884,0.341105,113,0
1772193960.190957,5.477523,0.687864,10.028210,0.007088,0.993052,0.003460,0.117409,118,0
1772193962.390919,4.910942,0.784859,9.834003,0.019105,-0.587972,0.031371,0.808047,134,0
1772193962.060904,5.010930,0.777213,9.574876,0.023858,-0.691462,0.022171,0.721678,131,0
1772193960.685906,5.547256,0.714066,9.729419,-0.007178,0.998140,-0.007637,-0.060052,121,0
1772193961.125916,5.451221,0.740888,9.464347,0.012742,0.982227,-0.022287,-0.185932,124,0
1772193960.795945,5.533867,0.736582,9.645482,-0.001227,0.996251,-0.014282,-0.085320,122,0
1772193960.520918,5.558375,0.687151,9.845396,0.002315,0.999881,-0.001692,-0.015177,120,0
1772193961.950905,5.037742,0.779852,9.491982,0.021077,-0.736212,0.027744,0.675854,130,0
1772193961.565926,5.201277,0.783867,9.374300,-0.004017,0.896580,-0.013224,-0.442667,127,0
1772193960.960908,5.505713,0.750350,9.538798,0.022685,0.991235,-0.013986,-0.129394,123,0
1772193961.840916,5.071013,0.777837,9.430145,0.012586,-0.783424,0.025373,0.620841,129,0
1772193962.170906,4.968988,0.782739,9.667097,0.025078,-0.649275,0.017097,0.759948,132,0
1772193962.280912,4.938437,0.786470,9.756368,0.032116,-0.613549,0.023873,0.788642,133,0
1772193962.500914,4.894087,0.778433,9.890525,0.020694,-0.571244,0.036906,0.819689,135,0
1772193962.665902,4.848903,0.781877,9.984658,0.008046,-0.546394,0.036912,0.836676,136,0
1772193962.775903,4.809184,0.788333,10.047593,0.003971,-0.530667,0.037378,0.846747,137,0
1772193962.940907,4.715539,0.796454,10.135026,0.005088,-0.523742,0.034479,0.851164,138,0
